iter	Passed	Remaining
0	41	83574
1	74	74814
2	78	52235
3	163	81736
4	178	71033
5	196	65330
6	311	88609
7	335	83538
8	347	76976
9	365	72728
10	380	68794
11	429	71180
12	444	67956
13	477	67774
14	493	65320
15	522	64771
16	557	65023
17	559	61626
18	609	63516
19	623	61737
20	627	59170
21	655	58915
22	683	58714
23	718	59148
24	771	60928
25	808	61372
26	889	64997
27	910	64120
28	943	64103
29	1005	66058
30	1054	66975
31	1085	66774
32	1119	66745
33	1154	66780
34	1198	67260
35	1201	65574
36	1255	66592
37	1313	67824
38	1393	70093
39	1427	69938
40	1516	72455
41	1547	72130
42	1598	72743
43	1644	73113
44	1647	71568
45	1746	74178
46	1785	74194
47	1898	77220
48	1945	77458
49	1977	77124
50	2078	79441
51	2118	79380
52	2180	80097
53	2203	79417
54	2227	78755
55	2272	78878
56	2308	78686
57	2348	78626
58	2397	78882
59	2441	78947
60	2493	79259
61	2541	79450
62	2569	78987
63	2591	78399
64	2624	78135
65	2627	76989
66	2657	76664
67	2673	75954
68	2706	75732
69	2738	75491
70	2781	75566
71	2815	75396
72	2822	74510
73	2851	74207
74	2874	73778
75	2902	73483
76	2930	73191
77	2936	72368
78	2957	71909
79	2983	71612
80	2986	70748
81	3016	70548
82	3047	70388
83	3062	69860
84	3096	69760
85	3121	69470
86	3177	69870
87	3199	69512
88	3221	69173
89	3245	68867
90	3266	68527
91	3290	68238
92	3311	67902
93	3334	67619
94	3360	67389
95	3388	67207
96	3413	66975
97	3421	66405
98	3460	66445
99	3482	66170
100	3498	65787
101	3530	65686
102	3573	65813
103	3601	65666
104	3633	65577
105	3655	65309
106	3663	64817
107	3667	64257
108	3690	64020
109	3715	63846
110	3719	63305
111	3748	63184
112	3774	63029
113	3800	62873
114	3822	62655
115	3848	62507
116	3874	62357
117	3904	62270
118	3940	62290
119	3973	62258
120	4013	62327
121	4016	61831
122	4039	61640
123	4065	61510
124	4086	61295
125	4112	61166
126	4141	61074
127	4146	60645
128	4168	60465
129	4194	60339
130	4226	60296
131	4260	60287
132	4291	60242
133	4317	60123
134	4345	60032
135	4369	59892
136	4393	59742
137	4425	59705
138	4457	59679
139	4482	59559
140	4524	59649
141	4526	59223
142	4550	59093
143	4555	58711
144	4578	58575
145	4608	58517
146	4636	58448
147	4662	58349
148	4694	58317
149	4722	58240
150	4755	58233
151	4787	58199
152	4816	58140
153	4846	58096
154	4871	57991
155	4900	57928
156	4936	57944
157	4992	58206
158	5079	58808
159	5087	58508
160	5176	59127
161	5200	58999
162	5281	59520
163	5335	59732
164	5391	59956
165	5468	60413
166	5508	60464
167	5541	60429
168	5567	60324
169	5593	60209
170	5623	60149
171	5647	60017
172	5672	59906
173	5698	59798
174	5722	59679
175	5745	59543
176	5766	59390
177	5789	59258
178	5810	59114
179	5831	58962
180	5858	58872
181	5879	58726
182	5902	58606
183	5911	58343
