iter	R2	RMSE
0	-3.679539219	141597.134
1	-3.4312551	137789.5537
2	-3.201322432	134167.0664
3	-2.981101235	130603.4135
4	-2.78002719	127262.4791
5	-2.584130211	123920.9708
6	-2.396816443	120639.3412
7	-2.224310373	117536.1166
8	-2.060925158	114519.4551
9	-1.90403891	111546.0338
10	-1.75673505	108680.2006
11	-1.622879327	106008.8376
12	-1.492151081	103333.2528
13	-1.374845471	100871.9915
14	-1.258381545	98367.48675
15	-1.149429115	95965.35651
16	-1.044755018	93599.50645
17	-0.9449596627	91286.84904
18	-0.8499718165	89029.81552
19	-0.7667979079	87005.42956
20	-0.6829216252	84915.08778
21	-0.6023110431	82856.4516
22	-0.5260524381	80860.72779
23	-0.4574192232	79021.48087
24	-0.3924558927	77240.24472
25	-0.3294438803	75472.35852
26	-0.2695490782	73752.65596
27	-0.2143536676	72131.59105
28	-0.1628665829	70585.88473
29	-0.1124410908	69038.51297
30	-0.06508339836	67553.01313
31	-0.01856581409	66061.35317
32	0.02512457782	64629.00624
33	0.06634434837	63247.92508
34	0.1053294035	61913.37797
35	0.1427278482	60605.53305
36	0.1782233951	59337.57641
37	0.209542011	58195.88995
38	0.2410558027	57024.02124
39	0.2708610712	55893.08234
40	0.2993150231	54791.64261
41	0.3255914817	53754.45226
42	0.3502964713	52760.69772
43	0.3737223354	51800.78952
44	0.3953976023	50896.492
45	0.4153327874	50050.36941
46	0.4358474606	49164.45067
47	0.4536072913	48384.40057
48	0.4710388419	47606.34162
49	0.4866339046	46899.316
50	0.50341437	46126.44573
51	0.5183360515	45428.14341
52	0.5333516947	44714.43668
53	0.547429295	44034.811
54	0.5606134884	43388.664
55	0.5727994267	42782.7632
56	0.5847049405	42182.40136
57	0.5965669624	41575.61168
58	0.6070562064	41031.56994
59	0.6168506897	40516.96828
60	0.6264578475	40005.77849
61	0.6357667944	39504.1467
62	0.64464463	39019.73888
63	0.6527358222	38572.95497
64	0.6598182041	38177.58495
65	0.6671526217	37763.7825
66	0.6742622193	37358.28956
67	0.6800295773	37026.0885
68	0.686287816	36662.20745
69	0.6924831661	36298.39018
70	0.6980322803	35969.39864
71	0.7034319965	35646.34976
72	0.7085598152	35336.83382
73	0.7135950088	35030.24772
74	0.7184248463	34733.62269
75	0.7227235666	34467.46926
76	0.7269908332	34201.2148
77	0.7310295149	33947.29938
78	0.7344712384	33729.40672
79	0.7381916877	33492.2738
80	0.7418997653	33254.24691
81	0.7446577755	33076.09542
82	0.7477980463	32872.07663
83	0.7508861572	32670.20412
84	0.7538917194	32472.52281
85	0.7568868311	32274.32437
86	0.7594133761	32106.18149
87	0.7618140886	31945.59284
88	0.7642060493	31784.78272
89	0.7666974087	31616.42047
90	0.7686127753	31486.37083
91	0.7706581111	31346.90083
92	0.7727561033	31203.19256
93	0.7749412206	31052.80935
94	0.7767482388	30927.89514
95	0.7784161137	30812.15011
96	0.7802251802	30686.11326
97	0.7819310641	30566.78903
98	0.7836673821	30444.85572
99	0.7853167608	30328.57373
100	0.7868832434	30217.72165
101	0.7879054838	30145.16305
102	0.7891978559	30053.17977
103	0.7909138927	29930.60572
104	0.7925009957	29816.7927
105	0.7936860081	29731.52998
106	0.7948049327	29650.79728
107	0.7957078385	29585.49017
108	0.7970866345	29485.48287
109	0.798426073	29388.00436
110	0.7994507513	29313.2139
111	0.8004229445	29242.07743
112	0.8015119624	29162.18672
113	0.8025872483	29083.08807
114	0.8034202122	29021.66658
115	0.8042755996	28958.45603
116	0.8050852729	28898.49624
117	0.8058401939	28842.47881
118	0.8068130613	28770.12824
119	0.8074842994	28720.10309
120	0.8085528867	28640.28455
121	0.8092960791	28584.6401
122	0.809716602	28553.10658
123	0.8103767455	28503.53441
124	0.8112391983	28438.64003
125	0.8119728446	28383.32076
126	0.8125199055	28342.00036
127	0.8132890788	28283.80134
128	0.8140127769	28228.93362
129	0.8144852187	28193.05748
130	0.814965472	28156.5413
131	0.8154213144	28121.83734
132	0.8156388709	28105.25934
133	0.8161255708	28068.13691
134	0.8167734803	28018.64209
135	0.8173180647	27976.97272
136	0.8177711864	27942.25433
137	0.8181730111	27911.43021
138	0.8184287906	27891.79153
139	0.8188843839	27856.77691
140	0.8195185597	27807.96393
141	0.8199937682	27771.33055
142	0.8205939174	27724.99644
143	0.8208747553	27703.28792
144	0.8214037841	27662.3482
145	0.821894253	27624.3383
146	0.8225000342	27577.31973
147	0.8231501342	27526.77194
148	0.8235557931	27495.1833
149	0.8239482355	27464.58927
150	0.8245330942	27418.93148
151	0.8250617358	27377.59685
152	0.8253524078	27354.8425
153	0.8258600032	27315.06155
154	0.8265147278	27263.66415
155	0.8267739831	27243.28521
156	0.8271658518	27212.45314
157	0.8277155097	27169.14732
158	0.8281128672	27137.79772
159	0.8285867739	27100.36135
160	0.8289195976	27074.03892
161	0.8293607401	27039.11026
162	0.8297569503	27007.70073
163	0.8300213186	26986.72262
164	0.8302732193	26966.71867
165	0.8305694977	26943.17156
166	0.830832946	26922.21638
167	0.8309858514	26910.04651
168	0.8312132913	26891.93418
169	0.831258302	26888.34828
170	0.8315853975	26862.27493
171	0.8319432635	26833.71978
172	0.8321806866	26814.75833
173	0.8325773988	26783.04555
174	0.8327696965	26767.65995
175	0.8329389077	26754.11415
176	0.8332105946	26732.35055
177	0.833591262	26701.82719
178	0.8340110896	26668.1233
179	0.8345049461	26628.42174
180	0.8346803641	26614.30548
181	0.8351236476	26578.60009
182	0.8355092762	26547.49961
183	0.8357289972	26529.76308
184	0.836030797	26505.38154
185	0.8363927635	26476.1097
186	0.8368740208	26437.14075
187	0.8370499308	26422.88241
188	0.8374458955	26390.7594
189	0.837870323	26356.28385
190	0.8379623762	26348.80056
191	0.8383905024	26313.96892
192	0.8387207183	26287.07158
193	0.8391416698	26252.74351
194	0.8393970538	26231.89537
195	0.8394446963	26228.00426
196	0.8396785592	26208.8956
197	0.8399695527	26185.09941
198	0.8400468162	26178.77749
199	0.8404624902	26144.73967
200	0.8408035361	26116.7797
201	0.8412659787	26078.81939
202	0.8412734003	26078.20973
203	0.8416097007	26050.5686
204	0.8417367017	26040.12254
205	0.8420097258	26017.6516
206	0.8424370176	25982.44482
207	0.8426853984	25961.95751
208	0.8428859832	25945.40077
209	0.8432771792	25913.08008
210	0.8434849279	25895.89945
211	0.8436201849	25884.70769
212	0.8436666105	25880.86512
213	0.8440052079	25852.82266
214	0.8440653299	25847.84021
215	0.8442858668	25829.55557
216	0.8444403278	25816.74154
217	0.8445984806	25803.61466
218	0.8447598349	25790.21516
219	0.8448911618	25779.30411
220	0.8450977825	25762.12806
221	0.8452965476	25745.59423
222	0.8455163826	25727.29537
223	0.8456108868	25719.42493
224	0.845756597	25707.28525
225	0.8459722626	25689.30679
226	0.8461255171	25676.52344
227	0.8462050443	25669.88736
228	0.8463845274	25654.90424
229	0.8466854046	25629.76758
230	0.8469988718	25603.55286
231	0.8470438179	25599.79189
232	0.8473302237	25575.81324
233	0.8475179026	25560.08807
234	0.8477694226	25538.99862
235	0.8480708451	25513.70198
236	0.8482896919	25495.31972
237	0.8484950197	25478.06094
238	0.8486354002	25466.25455
239	0.8489225389	25442.08834
240	0.8491049698	25426.72263
241	0.8493312898	25407.64733
242	0.8494716344	25395.81124
243	0.8494749492	25395.53162
244	0.8497142809	25375.3344
245	0.8499260135	25357.45287
246	0.8501404689	25339.32852
247	0.8503764106	25319.3733
248	0.8506691949	25294.58862
249	0.8509312638	25272.38344
250	0.8510365293	25263.45876
251	0.8511988042	25249.69451
252	0.8515382444	25220.87869
253	0.8516524958	25211.17224
254	0.8517693563	25201.24025
255	0.8519606307	25184.97537
256	0.8522024799	25164.39485
257	0.8525033568	25138.76775
258	0.8528301012	25110.90777
259	0.8530651419	25090.84782
260	0.8532221583	25077.43804
261	0.8534029536	25061.98857
262	0.853434059	25059.32957
263	0.8535112151	25052.73276
264	0.853522449	25051.77212
265	0.8537343003	25033.64931
266	0.85396487	25013.91031
267	0.8541007888	25002.26704
268	0.8542446895	24989.9341
269	0.8544996111	24968.07122
270	0.8546189452	24957.83017
271	0.8547335241	24947.99325
272	0.854751115	24946.48268
273	0.854995702	24925.46993
274	0.8551942744	24908.39731
275	0.8553819171	24892.25363
276	0.8555253642	24879.90522
277	0.8558156934	24854.89392
278	0.8558215413	24854.38988
279	0.855982177	24840.54033
280	0.856092577	24831.01747
281	0.8562892255	24814.04596
282	0.8565047689	24795.43041
283	0.8567335443	24775.65677
284	0.8568709572	24763.77223
285	0.8571209042	24742.14022
286	0.8572060374	24734.76794
287	0.8573922998	24718.63049
288	0.8575104994	24708.38441
289	0.8577012154	24691.84333
290	0.8578781947	24676.48373
291	0.8580365909	24662.7288
292	0.8581777033	24650.46831
293	0.8583364622	24636.66732
294	0.8585246871	24620.29481
295	0.8587586353	24599.92992
296	0.8590267059	24576.57399
297	0.8591050416	24569.74471
298	0.8592774699	24554.70579
299	0.8594585355	24538.90361
300	0.8597646267	24512.16689
301	0.859893274	24500.92099
302	0.8600474936	24487.43283
