iter	RMSE
0	141219.2074
1	137423.971
2	133818.6513
3	130300.2535
4	127024.0298
5	123892.1915
6	120667.8197
7	117487.7458
8	114447.4904
9	111494.8307
10	108570.5091
11	105769.3793
12	103046.2796
13	100575.5211
14	98014.16613
15	95577.24688
16	93207.84683
17	90892.13541
18	88638.88462
19	86594.15991
20	84470.90393
21	82427.30815
22	80439.37287
23	78594.8708
24	76814.28045
25	75062.21905
26	73334.84235
27	71786.88829
28	70245.87039
29	68685.72087
30	67151.58048
31	65674.94379
32	64252.93694
33	62881.56261
34	61561.3234
35	60293.47788
36	59014.60831
37	57865.75349
38	56700.43214
39	55583.63045
40	54504.69725
41	53485.29663
42	52469.90081
43	51498.28134
44	50558.49733
45	49699.90519
46	48816.20575
47	48025.49463
48	47220.21229
49	46487.60376
50	45735.12284
51	45030.02534
52	44335.82466
53	43659.34697
54	43048.57256
55	42441.7441
56	41829.60321
57	41268.93635
58	40721.59394
59	40193.12198
60	39683.05615
61	39193.54856
62	38761.4026
63	38329.68493
64	37910.74549
65	37503.93374
66	37124.79862
67	36778.30035
68	36423.30019
69	36091.46006
70	35784.11616
71	35471.82078
72	35164.56263
73	34879.26925
74	34591.335
75	34325.05064
76	34055.91479
77	33810.54989
78	33572.72014
79	33355.93737
80	33152.62839
81	32958.08111
82	32751.25176
83	32544.78747
84	32371.03675
85	32195.99454
86	32048.45153
87	31896.75692
88	31741.93351
89	31588.7587
90	31440.54773
91	31309.25807
92	31175.54916
93	31062.67505
94	30929.7515
95	30819.6597
96	30706.00415
97	30607.28261
98	30500.54759
99	30422.54906
100	30317.73937
101	30223.2401
102	30102.74442
103	29996.01192
104	29879.694
105	29786.16109
106	29683.00578
107	29585.51302
108	29496.68136
109	29403.2746
110	29301.67678
111	29234.15047
112	29161.81807
113	29092.80411
114	29027.14623
115	28950.20679
116	28882.02376
117	28835.84753
118	28794.87102
119	28748.36199
120	28671.66344
121	28610.79803
122	28574.4565
123	28515.35949
124	28467.34422
125	28425.07269
126	28373.51055
127	28324.9087
128	28276.82118
129	28229.52856
130	28176.69954
131	28119.80402
132	28064.39315
133	28044.62676
134	28009.08403
135	27945.22499
136	27904.70068
137	27873.99396
138	27841.28411
139	27807.20404
140	27770.94122
141	27753.70348
142	27715.73648
143	27687.71135
144	27648.66868
145	27599.95769
146	27543.59859
147	27519.23717
148	27491.41557
149	27482.24938
150	27451.57003
151	27422.89095
152	27375.13837
153	27327.31556
154	27301.91268
155	27281.33604
156	27261.60612
157	27223.84342
158	27203.54561
159	27171.42589
160	27139.0279
161	27110.70671
162	27080.85018
163	27055.80464
164	27045.55931
165	27011.59265
166	26993.70999
167	26969.98488
168	26941.6922
169	26906.07698
170	26902.7315
171	26880.46602
172	26861.88301
173	26837.24791
174	26802.30582
175	26762.05147
176	26734.69946
177	26694.05506
178	26660.62852
179	26640.82135
180	26623.99278
181	26600.53998
182	26588.76298
183	26554.54627
184	26533.94713
185	26502.59675
186	26467.81025
187	26451.22618
188	26416.31568
189	26397.44672
190	26392.03376
191	26362.8529
192	26335.3605
193	26314.85149
194	26298.01591
195	26297.09994
196	26268.14497
197	26245.84214
198	26237.16448
199	26207.77435
200	26185.66164
201	26153.15835
202	26152.38822
203	26142.29025
204	26126.88431
205	26112.71853
206	26099.0315
207	26085.76701
208	26074.41825
209	26050.54874
210	26049.49207
211	26030.80324
212	26007.43148
213	25981.73023
214	25968.10505
215	25942.22985
216	25919.25744
217	25891.63622
218	25874.74098
219	25866.05503
220	25848.83115
221	25832.7498
222	25831.48049
223	25829.93967
224	25818.62015
225	25799.80978
226	25784.07325
227	25768.11134
228	25745.42193
229	25744.89698
230	25731.11469
231	25718.708
232	25707.79177
233	25696.41188
234	25687.39764
235	25660.66395
236	25641.68772
237	25617.83225
238	25600.60764
239	25582.94914
240	25564.28412
241	25550.17226
242	25544.13169
243	25530.82821
244	25524.69795
245	25524.29432
246	25510.71544
247	25495.35064
248	25479.67342
249	25464.71456
250	25445.32569
251	25428.97453
252	25427.99992
253	25397.57199
254	25378.22114
255	25360.88346
256	25329.21876
257	25301.66792
258	25283.52951
259	25273.6288
260	25273.27387
261	25259.16752
262	25254.14931
263	25228.32604
264	25220.11523
265	25204.75085
266	25193.29778
267	25181.0946
268	25162.3743
