iter	R2	RMSE
0	0.02664902124	64595.8165
1	0.05221276237	63741.91185
2	0.07649613142	62920.04387
3	0.1003605523	62101.75912
4	0.1233188502	61304.23699
5	0.1459246145	60508.69131
6	0.1671935089	59750.52258
7	0.1878075522	59006.40158
8	0.2071262383	58300.41957
9	0.2267934738	57572.80812
10	0.2457552036	56862.48281
11	0.2633729825	56194.457
12	0.2811912834	55510.65153
13	0.2976119621	54872.93759
14	0.3136278546	54243.72212
15	0.3297515295	53602.81196
16	0.3443731999	53014.90728
17	0.3588781777	52425.18081
18	0.3730541605	51842.34878
19	0.3871276422	51257.17588
20	0.3999062466	50719.99595
21	0.4126983935	50176.48698
22	0.4247982542	49656.91729
23	0.4363494476	49155.78383
24	0.447664101	48659.90904
25	0.458722415	48170.33633
26	0.4696610178	47681.11829
27	0.4803538103	47197.99292
28	0.4907404719	46723.91647
29	0.5002882175	46283.84729
30	0.5094842884	45855.9947
31	0.5187804559	45419.38882
32	0.5276496253	44998.88878
33	0.5366649126	44567.39521
34	0.5452717907	44151.51451
35	0.5533191249	43759.09548
36	0.5607480658	43393.68164
37	0.5685681873	43005.67218
38	0.5758012723	42643.64684
39	0.5826982892	42295.55614
40	0.5896428277	41942.14829
41	0.5964153029	41594.60482
42	0.6030493741	41251.325
43	0.6087989111	40951.48781
44	0.6146982089	40641.54142
45	0.6206423151	40326.83147
46	0.6265387319	40012.20092
47	0.632094442	39713.46964
48	0.6372680874	39433.2471
49	0.6423167284	39157.86203
50	0.6470856173	38895.94579
51	0.6520384468	38622.04696
52	0.6567992546	38356.92368
53	0.66153885	38091.14873
54	0.6658355288	37848.59774
55	0.66997445	37613.47331
56	0.6742869561	37366.91403
57	0.6781359193	37145.47478
58	0.6820030073	36921.65532
59	0.6857105193	36705.79036
60	0.6890773725	36508.654
61	0.692463848	36309.28904
62	0.6960911123	36094.52723
63	0.6992905778	35904.02811
64	0.7023006015	35723.88114
65	0.7056451317	35522.64279
66	0.7087565218	35334.4033
67	0.7117228238	35154.00311
68	0.7147460213	34969.18515
69	0.7174743043	34801.55373
70	0.7200601777	34641.92351
71	0.7228187682	34470.81625
72	0.7254091336	34309.36664
73	0.7276034395	34172.00545
74	0.7299646346	34023.57775
75	0.732346889	33873.16714
76	0.7345467224	33733.67863
77	0.7367998024	33590.21338
78	0.7389875695	33450.31814
79	0.7409906274	33321.71896
80	0.7429586222	33194.88569
81	0.7449024444	33069.13277
82	0.746706604	32951.98571
83	0.7485839087	32829.64543
84	0.7503917058	32711.40239
85	0.7519778683	32607.3027
86	0.7539640469	32476.47948
87	0.7555879313	32369.12656
88	0.7571911132	32262.79185
89	0.758648078	32165.85042
90	0.760255961	32058.52716
91	0.7617627232	31957.6264
92	0.7632028907	31860.8865
93	0.7646293443	31764.77737
94	0.7662835366	31652.95863
95	0.7676216647	31562.2151
96	0.7689583943	31471.30517
97	0.7702568189	31382.7482
98	0.7714375762	31301.99903
99	0.7727648803	31210.97845
100	0.773807004	31139.32783
101	0.7750123459	31056.24906
102	0.7760682642	30983.28632
103	0.7772728679	30899.83922
104	0.7783902557	30822.23189
105	0.7794197998	30750.5523
106	0.7803531505	30685.42526
107	0.7814908522	30605.85165
108	0.7823872479	30543.00955
109	0.7832238134	30484.245
110	0.7841331145	30420.24238
111	0.7850424522	30356.10224
112	0.7859942923	30288.81868
113	0.78677523	30233.50404
114	0.7878056383	30160.3639
115	0.7886176568	30102.60023
116	0.7894822247	30040.97633
117	0.7903058872	29982.15024
118	0.7911117185	29924.48574
119	0.7918734829	29869.87227
120	0.7926593614	29813.42514
121	0.7933425622	29764.26603
122	0.7941870725	29703.38759
123	0.7948829522	29653.12961
124	0.7955544052	29604.5549
125	0.7962760481	29552.26029
126	0.796937438	29504.25058
127	0.7976513604	29452.33975
128	0.7982841148	29406.25422
129	0.7991094087	29346.03666
130	0.7996769775	29304.5522
131	0.8002531249	29262.38056
132	0.8008299729	29220.09667
133	0.8012982116	29185.72897
134	0.801826207	29146.92665
135	0.8023623514	29107.47254
136	0.8028615199	29070.69128
137	0.8033653713	29033.51772
138	0.804057992	28982.33916
139	0.8045208047	28948.09096
140	0.8050061265	28912.13349
141	0.8054045056	28882.58416
142	0.8059231755	28844.06702
143	0.8063048715	28815.68887
144	0.8067773042	28780.52592
145	0.8073621448	28736.93689
146	0.8077880405	28705.15262
147	0.8081819972	28675.72056
148	0.8086257593	28642.53138
