iter	Passed	Remaining
0	3	3235
1	6	3155
2	10	3474
3	13	3380
4	16	3287
5	19	3255
6	23	3285
7	26	3302
8	30	3340
9	33	3288
10	36	3268
11	39	3270
12	42	3264
13	46	3267
14	49	3243
15	52	3214
16	56	3249
17	59	3221
18	62	3214
19	66	3243
20	69	3224
21	73	3265
22	76	3252
23	80	3278
24	129	5035
25	135	5078
26	143	5183
27	152	5290
28	161	5418
29	214	6950
30	221	6909
31	226	6837
32	229	6733
33	260	7396
34	263	7265
35	266	7130
36	269	7022
37	272	6902
38	277	6836
39	280	6731
40	283	6636
41	287	6547
42	291	6477
43	294	6393
44	297	6316
45	300	6236
46	305	6193
47	308	6122
48	312	6056
49	314	5981
50	319	5942
51	322	5871
52	326	5828
53	329	5769
54	333	5726
55	336	5668
56	339	5621
57	342	5564
58	345	5511
59	350	5487
60	353	5442
61	356	5391
62	360	5356
63	364	5326
64	368	5307
65	371	5263
66	374	5220
67	377	5180
68	380	5136
69	383	5098
70	387	5074
71	391	5039
72	393	5002
73	396	4965
74	399	4933
75	402	4897
76	405	4866
77	408	4831
78	411	4796
79	417	4806
80	424	4817
81	428	4798
82	432	4773
83	434	4741
84	437	4711
85	441	4691
86	445	4671
87	449	4654
88	452	4630
89	456	4614
90	459	4591
91	463	4576
92	467	4554
93	470	4534
94	473	4510
95	476	4489
96	479	4464
97	483	4445
98	485	4423
99	488	4398
100	492	4379
101	494	4357
102	497	4334
103	501	4316
104	503	4295
105	506	4274
106	510	4259
107	513	4238
108	516	4218
109	519	4200
110	522	4181
111	525	4167
112	528	4150
113	531	4131
114	534	4113
115	537	4094
116	540	4081
117	544	4069
118	547	4052
119	550	4034
120	553	4021
121	556	4007
122	559	3991
123	563	3983
124	566	3966
125	569	3952
126	573	3939
127	576	3924
128	580	3917
129	583	3901
130	586	3887
131	589	3874
132	592	3862
133	596	3852
134	598	3837
135	601	3822
136	604	3810
137	607	3796
138	610	3781
139	614	3773
140	616	3758
141	619	3745
142	622	3733
143	625	3720
144	629	3712
145	632	3699
146	635	3687
147	638	3676
148	641	3663
149	644	3649
150	647	3641
151	651	3634
152	656	3635
153	659	3624
154	662	3612
155	665	3601
156	668	3589
157	671	3579
158	674	3568
159	679	3565
160	681	3552
161	684	3542
162	688	3537
163	692	3531
164	698	3536
165	708	3561
166	716	3571
167	720	3566
168	725	3566
169	747	3648
170	761	3690
171	766	3688
172	777	3717
173	787	3738
174	797	3760
175	823	3855
176	828	3852
177	832	3846
178	838	3846
179	843	3841
180	851	3853
181	856	3851
182	861	3846
183	867	3847
184	870	3835
185	875	3831
186	880	3825
187	892	3854
188	898	3853
189	901	3842
190	907	3842
191	911	3833
192	920	3849
193	926	3847
194	930	3840
195	934	3833
196	940	3834
197	946	3833
198	949	3822
199	953	3814
200	960	3819
201	970	3835
202	980	3848
203	986	3848
204	995	3859
205	998	3849
206	1002	3839
207	1019	3882
208	1029	3896
209	1033	3886
210	1041	3893
211	1061	3946
212	1066	3938
213	1074	3944
214	1082	3953
215	1087	3946
216	1092	3941
217	1095	3930
218	1098	3919
219	1104	3917
220	1114	3929
221	1120	3927
222	1124	3917
223	1127	3905
224	1131	3898
225	1137	3896
226	1145	3901
227	1151	3897
228	1153	3884
229	1158	3877
230	1164	3876
231	1168	3869
232	1172	3860
233	1178	3857
234	1181	3847
235	1185	3837
236	1190	3833
237	1194	3823
238	1200	3822
239	1208	3827
240	1214	3824
241	1229	3849
242	1237	3855
243	1242	3850
244	1246	3840
245	1249	3829
246	1255	3827
247	1258	3816
248	1262	3807
249	1273	3820
250	1277	3812
251	1281	3804
252	1286	3799
253	1291	3793
254	1296	3788
255	1302	3784
256	1311	3792
257	1321	3800
258	1329	3802
259	1334	3798
260	1343	3802
261	1355	3818
262	1359	3809
263	1370	3820
264	1376	3818
265	1382	3815
266	1400	3843
267	1407	3844
268	1426	3877
269	1437	3885
270	1442	3880
271	1447	3875
272	1451	3864
273	1454	3852
274	1456	3840
275	1468	3853
276	1478	3859
277	1501	3899
278	1532	3959
279	1547	3980
280	1558	3988
281	1580	4024
282	1601	4058
283	1607	4053
284	1629	4088
285	1645	4108
286	1661	4126
287	1666	4119
288	1670	4110
289	1681	4117
290	1688	4113
291	1699	4119
292	1703	4109
293	1707	4100
294	1714	4098
295	1718	4087
296	1725	4085
297	1728	4072
298	1731	4060
299	1734	4047
300	1739	4038
301	1742	4026
302	1745	4014
303	1748	4002
304	1751	3990
305	1755	3981
306	1758	3969
307	1761	3956
308	1764	3946
309	1767	3934
310	1770	3923
311	1777	3919
312	1781	3909
313	1794	3920
314	1799	3913
315	1805	3909
316	1808	3897
317	1811	3885
318	1818	3881
319	1822	3873
320	1834	3880
321	1839	3873
322	1849	3876
323	1855	3872
324	1860	3863
325	1863	3852
326	1869	3847
327	1872	3837
328	1876	3826
329	1879	3816
330	1891	3822
331	1895	3814
332	1900	3806
333	1906	3801
334	1921	3813
